model,experiment_id,threshold,precision,recall,f1,roc_auc,tp,fp,fn,tn,feature_set,sampling_method,timestamp
RandomForest,RF_v0_baseline_n100_mdNone_mss2_cwNone_smTrue_th0.50,0.5,0.5555555555555556,0.22727272727272727,0.3225806451612903,0.9641528925619836,5,4,17,656,full,True,2025-11-13T15:15:15.597230
RandomForest,RF_v0_baseline_n100_mdNone_mss2_cwNone_smTrue_th0.50,0.5,0.5555555555555556,0.22727272727272727,0.3225806451612903,0.9641528925619836,5,4,17,656,full,True,2025-11-13T15:15:46.005932
RandomForest,RF_v0_baseline_n100_mdNone_mss2_cwNone_smTrue_th0.50,0.5,0.5555555555555556,0.22727272727272727,0.3225806451612903,0.9641528925619836,5,4,17,656,full,True,2025-11-13T15:18:35.645456
RandomForest,RF_v0_custom_baseline_n100_md10_mss2_cwbalanced_smTrue_th0.20,0.2,0.2647058823529412,0.8181818181818182,0.4,0.9477617079889806,18,50,4,610,full,True,2025-11-13T15:19:37.905029
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_mdNone_mss2_cwNone_smFalse_th0.20,0.2,0.4473684210526316,0.7727272727272727,0.5666666666666667,0.9641528925619836,17,21,5,639,full,False,2025-11-13T16:14:48.810618
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_mdNone_mss2_cwbalanced_smFalse_th0.20,0.2,0.40625,0.5909090909090909,0.48148148148148145,0.9572314049586776,13,19,9,641,full,False,2025-11-13T16:14:53.396350
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_mdNone_mss5_cwNone_smFalse_th0.20,0.2,0.42857142857142855,0.8181818181818182,0.5625,0.971900826446281,18,24,4,636,full,False,2025-11-13T16:14:59.560609
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_mdNone_mss5_cwbalanced_smFalse_th0.20,0.2,0.41379310344827586,0.5454545454545454,0.47058823529411764,0.9495179063360881,12,17,10,643,full,False,2025-11-13T16:15:05.040602
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_md10_mss2_cwNone_smFalse_th0.20,0.2,0.45,0.8181818181818182,0.5806451612903226,0.9643250688705234,18,22,4,638,full,False,2025-11-13T16:15:11.402026
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_md10_mss2_cwbalanced_smFalse_th0.20,0.2,0.2647058823529412,0.8181818181818182,0.4,0.9477617079889806,18,50,4,610,full,False,2025-11-13T16:15:15.610352
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_md10_mss5_cwNone_smFalse_th0.20,0.2,0.4444444444444444,0.7272727272727273,0.5517241379310345,0.9658402203856749,16,20,6,640,full,False,2025-11-13T16:15:21.903392
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_md10_mss5_cwbalanced_smFalse_th0.20,0.2,0.2647058823529412,0.8181818181818182,0.4,0.943767217630854,18,50,4,610,full,False,2025-11-13T16:15:25.922744
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_md20_mss2_cwNone_smFalse_th0.20,0.2,0.4473684210526316,0.7727272727272727,0.5666666666666667,0.9641528925619836,17,21,5,639,full,False,2025-11-13T16:15:32.187790
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_md20_mss2_cwbalanced_smFalse_th0.20,0.2,0.3409090909090909,0.6818181818181818,0.45454545454545453,0.937637741046832,15,29,7,631,full,False,2025-11-13T16:15:36.750866
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_md20_mss5_cwNone_smFalse_th0.20,0.2,0.42857142857142855,0.8181818181818182,0.5625,0.971900826446281,18,24,4,636,full,False,2025-11-13T16:15:43.114502
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n100_md20_mss5_cwbalanced_smFalse_th0.20,0.2,0.3333333333333333,0.6818181818181818,0.44776119402985076,0.9390151515151516,15,30,7,630,full,False,2025-11-13T16:15:47.229239
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n200_mdNone_mss2_cwNone_smFalse_th0.20,0.2,0.4146341463414634,0.7727272727272727,0.5396825396825397,0.9649793388429753,17,24,5,636,full,False,2025-11-13T16:15:58.100555
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n200_mdNone_mss2_cwbalanced_smFalse_th0.20,0.2,0.41935483870967744,0.5909090909090909,0.49056603773584906,0.9635674931129476,13,18,9,642,full,False,2025-11-13T16:16:08.874454
RandomForest,RF Phase 2 Fixed Threshold Tuning No Sampling_n200_mdNone_mss5_cwNone_smFalse_th0.20,0.2,0.3953488372093023,0.7727272727272727,0.5230769230769231,0.9692837465564739,17,26,5,634,full,False,2025-11-13T16:16:20.704161
