model,experiment_id,threshold,precision,recall,f1,roc_auc,tp,fp,fn,tn,feature_set,sampling_method,timestamp,pca_applied
RandomForest,RF_v0_baseline_ne100_mdNone_mss2_cwNone_smnone_th0.5,0.5,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.9721074380165289,4,2,18,658,full,none,2025-11-13T01:38:34.609826,
RandomForest,RF_v0_baseline_ne100_md10_mss2_cwbalanced_smnone_th0.2,0.2,0.24285714285714285,0.7727272727272727,0.3695652173913043,0.9522727272727274,17,53,5,607,full,none,2025-11-13T01:38:38.484582,
RandomForest,RF_v0_baseline_ne100_md10_mss2_cwbalanced_smnone_th0.3,0.3,0.3191489361702128,0.6818181818181818,0.43478260869565216,0.9522727272727274,15,32,7,628,full,none,2025-11-13T01:38:42.369106,
RandomForest,RF_v0_baseline_ne100_md10_mss2_cwbalanced_smnone_th0.25,0.25,0.26785714285714285,0.6818181818181818,0.38461538461538464,0.9522727272727274,15,41,7,619,full,none,2025-11-13T01:38:46.311937,
RandomForest,RF_v0_baseline_ne100_mdNone_mss2_cwNone_smnone_th0.2,0.2,0.4358974358974359,0.7727272727272727,0.5573770491803278,0.9721074380165289,17,22,5,638,full,none,2025-11-13T01:38:51.589086,
RandomForest,RF_v2_ne100_mdNone_mss2_cwbalanced_smnone_th0.2,0.2,0.42857142857142855,0.5454545454545454,0.48,0.931198347107438,12,16,10,644,full,none,2025-11-13T01:38:55.693149,
RandomForest,RF_v3_ne100_mdNone_mss5_cwNone_smnone_th0.2,0.2,0.40476190476190477,0.7727272727272727,0.53125,0.9652548209366392,17,25,5,635,full,none,2025-11-13T01:39:00.875855,
RandomForest,RF_v4_ne100_mdNone_mss5_cwbalanced_smnone_th0.2,0.2,0.3870967741935484,0.5454545454545454,0.4528301886792453,0.9593663911845731,12,19,10,641,full,none,2025-11-13T01:39:04.926464,
RandomForest,RF_v5_ne100_md10_mss2_cwNone_smnone_th0.2,0.2,0.425,0.7727272727272727,0.5483870967741935,0.9682506887052342,17,23,5,637,full,none,2025-11-13T01:39:09.963577,
RandomForest,RF_v6_ne100_md10_mss2_cwbalanced_smnone_th0.2,0.2,0.24285714285714285,0.7727272727272727,0.3695652173913043,0.9522727272727274,17,53,5,607,full,none,2025-11-13T01:39:13.597941,
RandomForest,RF_v7_ne100_md10_mss5_cwNone_smnone_th0.2,0.2,0.4473684210526316,0.7727272727272727,0.5666666666666667,0.9694214876033059,17,21,5,639,full,none,2025-11-13T01:39:18.498867,
RandomForest,RF_v8_ne100_md10_mss5_cwbalanced_smnone_th0.2,0.2,0.25,0.7727272727272727,0.37777777777777777,0.9526859504132231,17,51,5,609,full,none,2025-11-13T01:39:22.363065,
RandomForest,RF_v9_ne100_md20_mss2_cwNone_smnone_th0.2,0.2,0.4358974358974359,0.7727272727272727,0.5573770491803278,0.9721074380165289,17,22,5,638,full,none,2025-11-13T01:39:27.372568,
RandomForest,RF_v10_ne100_md20_mss2_cwbalanced_smnone_th0.2,0.2,0.35555555555555557,0.7272727272727273,0.47761194029850745,0.9575757575757575,16,29,6,631,full,none,2025-11-13T01:39:31.332923,
RandomForest,RF_v11_ne100_md20_mss5_cwNone_smnone_th0.2,0.2,0.40476190476190477,0.7727272727272727,0.53125,0.9652548209366392,17,25,5,635,full,none,2025-11-13T01:39:36.486834,
RandomForest,RF_v12_ne100_md20_mss5_cwbalanced_smnone_th0.2,0.2,0.34782608695652173,0.7272727272727273,0.47058823529411764,0.95633608815427,16,30,6,630,full,none,2025-11-13T01:39:40.461453,
RandomForest,RF_v13_ne200_mdNone_mss2_cwNone_smnone_th0.2,0.2,0.425,0.7727272727272727,0.5483870967741935,0.9701101928374656,17,23,5,637,full,none,2025-11-13T01:39:50.537981,
RandomForest,RF_v14_ne200_mdNone_mss2_cwbalanced_smnone_th0.2,0.2,0.42857142857142855,0.5454545454545454,0.48,0.953202479338843,12,16,10,644,full,none,2025-11-13T01:39:58.472962,
RandomForest,RF_v15_ne200_mdNone_mss5_cwNone_smnone_th0.2,0.2,0.4146341463414634,0.7727272727272727,0.5396825396825397,0.9674242424242424,17,24,5,636,full,none,2025-11-13T01:40:08.689635,
RandomForest,RF_v16_ne200_mdNone_mss5_cwbalanced_smnone_th0.2,0.2,0.41935483870967744,0.5909090909090909,0.49056603773584906,0.9645316804407713,13,18,9,642,full,none,2025-11-13T01:40:21.758175,
RandomForest,RF_v17_ne200_md10_mss2_cwNone_smnone_th0.2,0.2,0.4358974358974359,0.7727272727272727,0.5573770491803278,0.965909090909091,17,22,5,638,full,none,2025-11-13T01:40:31.702456,
RandomForest,RF_v18_ne200_md10_mss2_cwbalanced_smnone_th0.2,0.2,0.26153846153846155,0.7727272727272727,0.39080459770114945,0.9525137741046832,17,48,5,612,full,none,2025-11-13T01:40:40.546854,
RandomForest,RF_v19_ne200_md10_mss5_cwNone_smnone_th0.2,0.2,0.4473684210526316,0.7727272727272727,0.5666666666666667,0.9674931129476585,17,21,5,639,full,none,2025-11-13T01:40:51.375420,
RandomForest,RF_v20_ne200_md10_mss5_cwbalanced_smnone_th0.2,0.2,0.25,0.7727272727272727,0.37777777777777777,0.9536501377410469,17,51,5,609,full,none,2025-11-13T01:40:58.283409,
RandomForest,RF_v21_ne200_md20_mss2_cwNone_smnone_th0.2,0.2,0.425,0.7727272727272727,0.5483870967741935,0.9701101928374656,17,23,5,637,full,none,2025-11-13T01:41:08.470123,
RandomForest,RF_v22_ne200_md20_mss2_cwbalanced_smnone_th0.2,0.2,0.3409090909090909,0.6818181818181818,0.45454545454545453,0.956232782369146,15,29,7,631,full,none,2025-11-13T01:41:16.355477,
RandomForest,RF_v23_ne200_md20_mss5_cwNone_smnone_th0.2,0.2,0.4146341463414634,0.7727272727272727,0.5396825396825397,0.9674242424242424,17,24,5,636,full,none,2025-11-13T01:41:27.697665,
RandomForest,RF_v24_ne200_md20_mss5_cwbalanced_smnone_th0.2,0.2,0.36363636363636365,0.7272727272727273,0.48484848484848486,0.9621900826446281,16,28,6,632,full,none,2025-11-13T01:41:35.548135,
RandomForest,RF_v0_baseline_ne100_mdNone_mss2_cwNone_smsmote_th0.2,0.2,0.19148936170212766,0.8181818181818182,0.3103448275862069,0.9545454545454546,18,76,4,584,full,smote,2025-11-13T01:41:52.354226,
RandomForest,RF_v2_ne100_mdNone_mss2_cwbalanced_smsmote_th0.2,0.2,0.19148936170212766,0.8181818181818182,0.3103448275862069,0.9545454545454546,18,76,4,584,full,smote,2025-11-13T01:42:11.329643,
RandomForest,RF_v3_ne100_mdNone_mss5_cwNone_smsmote_th0.2,0.2,0.20833333333333334,0.9090909090909091,0.3389830508474576,0.9619490358126722,20,76,2,584,full,smote,2025-11-13T01:42:27.786448,
RandomForest,RF_v4_ne100_mdNone_mss5_cwbalanced_smsmote_th0.2,0.2,0.20833333333333334,0.9090909090909091,0.3389830508474576,0.9619490358126722,20,76,2,584,full,smote,2025-11-13T01:42:44.075255,
RandomForest,RF_v5_ne100_md10_mss2_cwNone_smsmote_th0.2,0.2,0.1743119266055046,0.8636363636363636,0.2900763358778626,0.9532369146005509,19,90,3,570,full,smote,2025-11-13T01:42:54.170867,
RandomForest,RF_v6_ne100_md10_mss2_cwbalanced_smsmote_th0.2,0.2,0.1743119266055046,0.8636363636363636,0.2900763358778626,0.9532369146005509,19,90,3,570,full,smote,2025-11-13T01:43:04.112051,
RandomForest,RF_v7_ne100_md10_mss5_cwNone_smsmote_th0.2,0.2,0.17117117117117117,0.8636363636363636,0.2857142857142857,0.9515151515151515,19,92,3,568,full,smote,2025-11-13T01:43:14.151263,
RandomForest,RF_v8_ne100_md10_mss5_cwbalanced_smsmote_th0.2,0.2,0.17117117117117117,0.8636363636363636,0.2857142857142857,0.9515151515151515,19,92,3,568,full,smote,2025-11-13T01:43:24.222411,
RandomForest,RF_v9_ne100_md20_mss2_cwNone_smsmote_th0.2,0.2,0.1956521739130435,0.8181818181818182,0.3157894736842105,0.9534779614325068,18,74,4,586,full,smote,2025-11-13T01:43:38.859496,
RandomForest,RF_v10_ne100_md20_mss2_cwbalanced_smsmote_th0.2,0.2,0.1956521739130435,0.8181818181818182,0.3157894736842105,0.9534779614325068,18,74,4,586,full,smote,2025-11-13T01:43:53.455385,
RandomForest,RF_v11_ne100_md20_mss5_cwNone_smsmote_th0.2,0.2,0.19387755102040816,0.8636363636363636,0.31666666666666665,0.9607438016528925,19,79,3,581,full,smote,2025-11-13T01:44:08.469205,
RandomForest,RF_v12_ne100_md20_mss5_cwbalanced_smsmote_th0.2,0.2,0.19387755102040816,0.8636363636363636,0.31666666666666665,0.9607438016528925,19,79,3,581,full,smote,2025-11-13T01:44:23.032107,
RandomForest,RF_v13_ne200_mdNone_mss2_cwNone_smsmote_th0.2,0.2,0.20833333333333334,0.9090909090909091,0.3389830508474576,0.9570936639118458,20,76,2,584,full,smote,2025-11-13T01:44:54.856563,
RandomForest,RF_v14_ne200_mdNone_mss2_cwbalanced_smsmote_th0.2,0.2,0.20833333333333334,0.9090909090909091,0.3389830508474576,0.9570936639118458,20,76,2,584,full,smote,2025-11-13T01:45:26.775522,
RandomForest,RF_v15_ne200_mdNone_mss5_cwNone_smsmote_th0.2,0.2,0.20202020202020202,0.9090909090909091,0.3305785123966942,0.96267217630854,20,79,2,581,full,smote,2025-11-13T01:45:58.760420,
RandomForest,RF_v16_ne200_mdNone_mss5_cwbalanced_smsmote_th0.2,0.2,0.20202020202020202,0.9090909090909091,0.3305785123966942,0.96267217630854,20,79,2,581,full,smote,2025-11-13T01:46:31.020482,
RandomForest,RF_v17_ne200_md10_mss2_cwNone_smsmote_th0.2,0.2,0.17543859649122806,0.9090909090909091,0.29411764705882354,0.9569559228650137,20,94,2,566,full,smote,2025-11-13T01:46:50.806363,
RandomForest,RF_v18_ne200_md10_mss2_cwbalanced_smsmote_th0.2,0.2,0.17543859649122806,0.9090909090909091,0.29411764705882354,0.9569559228650137,20,94,2,566,full,smote,2025-11-13T01:47:10.802953,
RandomForest,RF_v19_ne200_md10_mss5_cwNone_smsmote_th0.2,0.2,0.17857142857142858,0.9090909090909091,0.29850746268656714,0.9564738292011019,20,92,2,568,full,smote,2025-11-13T01:47:31.502182,
