model,experiment_id,threshold,precision,recall,f1,roc_auc,tp,fp,fn,tn,feature_set,sampling_method,timestamp
XGBoost,XGB_v0_baseline_gam0_lr0.1_mcw1_md3_spw1_smnone_th0.5,0.5,0.6666666666666666,0.2727272727272727,0.3870967741935484,0.9554407713498623,6,3,16,657,full,none,2025-11-14T01:15:25.379684
XGBoost,XGB_v1_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.25675675675675674,0.8636363636363636,0.3958333333333333,0.9685950413223139,19,55,3,605,full,none,2025-11-14T01:22:20.832369
XGBoost,XGB_v2_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9694214876033058,19,52,3,608,full,none,2025-11-14T01:22:21.567209
XGBoost,XGB_v3_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.2602739726027397,0.8636363636363636,0.4,0.9693526170798897,19,54,3,606,full,none,2025-11-14T01:22:22.281599
XGBoost,XGB_v4_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst0.8_ra0.1_rl5_smnone_th0.05,0.05,0.2638888888888889,0.8636363636363636,0.40425531914893614,0.9692837465564738,19,53,3,607,full,none,2025-11-14T01:22:22.998916
XGBoost,XGB_v5_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst1_ra0_rl1_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9695592286501378,19,52,3,608,full,none,2025-11-14T01:22:23.786846
XGBoost,XGB_v6_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst1_ra0_rl5_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9693526170798898,19,52,3,608,full,none,2025-11-14T01:22:24.585415
XGBoost,XGB_v7_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst1_ra0.1_rl1_smnone_th0.05,0.05,0.2602739726027397,0.8636363636363636,0.4,0.9705234159779614,19,54,3,606,full,none,2025-11-14T01:22:26.325571
XGBoost,XGB_v8_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst1_ra0.1_rl5_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9681818181818183,19,52,3,608,full,none,2025-11-14T01:22:27.254199
XGBoost,XGB_v9_gam0_lr0.05_mcw1_spw1_md3_sub1_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9667355371900826,19,52,3,608,full,none,2025-11-14T01:22:27.955566
XGBoost,XGB_v10_gam0_lr0.05_mcw1_spw1_md3_sub1_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.2638888888888889,0.8636363636363636,0.40425531914893614,0.965771349862259,19,53,3,607,full,none,2025-11-14T01:22:28.705271
XGBoost,XGB_v11_gam0_lr0.05_mcw1_spw1_md3_sub1_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.25333333333333335,0.8636363636363636,0.3917525773195876,0.965289256198347,19,56,3,604,full,none,2025-11-14T01:22:29.419534
XGBoost,XGB_v12_gam0_lr0.05_mcw1_spw1_md3_sub1_cst0.8_ra0.1_rl5_smnone_th0.05,0.05,0.2602739726027397,0.8636363636363636,0.4,0.9668732782369146,19,54,3,606,full,none,2025-11-14T01:22:30.149897
XGBoost,XGB_v13_gam0_lr0.05_mcw1_spw1_md3_sub1_cst1_ra0_rl1_smnone_th0.05,0.05,0.25675675675675674,0.8636363636363636,0.3958333333333333,0.9628099173553718,19,55,3,605,full,none,2025-11-14T01:22:30.919335
XGBoost,XGB_v14_gam0_lr0.05_mcw1_spw1_md3_sub1_cst1_ra0_rl5_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9630853994490359,19,52,3,608,full,none,2025-11-14T01:22:31.697788
XGBoost,XGB_v15_gam0_lr0.05_mcw1_spw1_md3_sub1_cst1_ra0.1_rl1_smnone_th0.05,0.05,0.25675675675675674,0.8636363636363636,0.3958333333333333,0.9616391184573002,19,55,3,605,full,none,2025-11-14T01:22:32.493906
XGBoost,XGB_v16_gam0_lr0.05_mcw1_spw1_md3_sub1_cst1_ra0.1_rl5_smnone_th0.05,0.05,0.2602739726027397,0.8636363636363636,0.4,0.9646005509641873,19,54,3,606,full,none,2025-11-14T01:22:33.275535
XGBoost,XGB_v17_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.2714285714285714,0.8636363636363636,0.41304347826086957,0.9738292011019283,19,51,3,609,full,none,2025-11-14T01:22:34.248214
XGBoost,XGB_v18_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.27941176470588236,0.8636363636363636,0.4222222222222222,0.9703168044077135,19,49,3,611,full,none,2025-11-14T01:22:35.486668
XGBoost,XGB_v19_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.2835820895522388,0.8636363636363636,0.42696629213483145,0.9725895316804408,19,48,3,612,full,none,2025-11-14T01:22:36.751574
XGBoost,XGB_v20_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst0.8_ra0.1_rl5_smnone_th0.05,0.05,0.2753623188405797,0.8636363636363636,0.4175824175824176,0.9692837465564738,19,50,3,610,full,none,2025-11-14T01:22:38.223520
XGBoost,XGB_v1_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.25675675675675674,0.8636363636363636,0.3958333333333333,0.9685950413223139,19,55,3,605,full,none,2025-11-14T01:24:25.734575
XGBoost,XGB_v2_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9694214876033058,19,52,3,608,full,none,2025-11-14T01:24:26.439859
XGBoost,XGB_v3_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.2602739726027397,0.8636363636363636,0.4,0.9693526170798897,19,54,3,606,full,none,2025-11-14T01:24:27.145969
XGBoost,XGB_v4_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst0.8_ra0.1_rl5_smnone_th0.05,0.05,0.2638888888888889,0.8636363636363636,0.40425531914893614,0.9692837465564738,19,53,3,607,full,none,2025-11-14T01:24:27.854858
XGBoost,XGB_v5_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst1_ra0_rl1_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9695592286501378,19,52,3,608,full,none,2025-11-14T01:24:28.630827
XGBoost,XGB_v6_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst1_ra0_rl5_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9693526170798898,19,52,3,608,full,none,2025-11-14T01:24:29.435407
XGBoost,XGB_v7_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst1_ra0.1_rl1_smnone_th0.05,0.05,0.2602739726027397,0.8636363636363636,0.4,0.9705234159779614,19,54,3,606,full,none,2025-11-14T01:24:30.205731
XGBoost,XGB_v8_gam0_lr0.05_mcw1_spw1_md3_sub0.8_cst1_ra0.1_rl5_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9681818181818183,19,52,3,608,full,none,2025-11-14T01:24:31.936895
XGBoost,XGB_v9_gam0_lr0.05_mcw1_spw1_md3_sub1_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9667355371900826,19,52,3,608,full,none,2025-11-14T01:24:32.691001
XGBoost,XGB_v10_gam0_lr0.05_mcw1_spw1_md3_sub1_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.2638888888888889,0.8636363636363636,0.40425531914893614,0.965771349862259,19,53,3,607,full,none,2025-11-14T01:24:33.420490
XGBoost,XGB_v11_gam0_lr0.05_mcw1_spw1_md3_sub1_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.25333333333333335,0.8636363636363636,0.3917525773195876,0.965289256198347,19,56,3,604,full,none,2025-11-14T01:24:34.101430
XGBoost,XGB_v12_gam0_lr0.05_mcw1_spw1_md3_sub1_cst0.8_ra0.1_rl5_smnone_th0.05,0.05,0.2602739726027397,0.8636363636363636,0.4,0.9668732782369146,19,54,3,606,full,none,2025-11-14T01:24:34.800070
XGBoost,XGB_v13_gam0_lr0.05_mcw1_spw1_md3_sub1_cst1_ra0_rl1_smnone_th0.05,0.05,0.25675675675675674,0.8636363636363636,0.3958333333333333,0.9628099173553718,19,55,3,605,full,none,2025-11-14T01:24:35.549734
XGBoost,XGB_v14_gam0_lr0.05_mcw1_spw1_md3_sub1_cst1_ra0_rl5_smnone_th0.05,0.05,0.2676056338028169,0.8636363636363636,0.40860215053763443,0.9630853994490359,19,52,3,608,full,none,2025-11-14T01:24:36.306382
XGBoost,XGB_v15_gam0_lr0.05_mcw1_spw1_md3_sub1_cst1_ra0.1_rl1_smnone_th0.05,0.05,0.25675675675675674,0.8636363636363636,0.3958333333333333,0.9616391184573002,19,55,3,605,full,none,2025-11-14T01:24:37.048060
XGBoost,XGB_v16_gam0_lr0.05_mcw1_spw1_md3_sub1_cst1_ra0.1_rl5_smnone_th0.05,0.05,0.2602739726027397,0.8636363636363636,0.4,0.9646005509641873,19,54,3,606,full,none,2025-11-14T01:24:37.810706
XGBoost,XGB_v17_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.2714285714285714,0.8636363636363636,0.41304347826086957,0.9738292011019283,19,51,3,609,full,none,2025-11-14T01:24:38.749504
XGBoost,XGB_v18_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.27941176470588236,0.8636363636363636,0.4222222222222222,0.9703168044077135,19,49,3,611,full,none,2025-11-14T01:24:39.707568
XGBoost,XGB_v19_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.2835820895522388,0.8636363636363636,0.42696629213483145,0.9725895316804408,19,48,3,612,full,none,2025-11-14T01:24:40.648264
XGBoost,XGB_v20_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst0.8_ra0.1_rl5_smnone_th0.05,0.05,0.2753623188405797,0.8636363636363636,0.4175824175824176,0.9692837465564738,19,50,3,610,full,none,2025-11-14T01:24:41.595164
XGBoost,XGB_v21_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst1_ra0_rl1_smnone_th0.05,0.05,0.2835820895522388,0.8636363636363636,0.42696629213483145,0.9734159779614324,19,48,3,612,full,none,2025-11-14T01:24:42.650617
XGBoost,XGB_v22_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst1_ra0_rl5_smnone_th0.05,0.05,0.27941176470588236,0.8636363636363636,0.4222222222222222,0.9712809917355372,19,49,3,611,full,none,2025-11-14T01:24:44.361903
XGBoost,XGB_v23_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst1_ra0.1_rl1_smnone_th0.05,0.05,0.2714285714285714,0.8636363636363636,0.41304347826086957,0.9743801652892563,19,51,3,609,full,none,2025-11-14T01:24:47.162788
XGBoost,XGB_v24_gam0_lr0.05_mcw1_spw1_md4_sub0.8_cst1_ra0.1_rl5_smnone_th0.05,0.05,0.2753623188405797,0.8636363636363636,0.4175824175824176,0.9703856749311297,19,50,3,610,full,none,2025-11-14T01:24:49.365376
XGBoost,XGB_v25_gam0_lr0.05_mcw1_spw1_md4_sub1_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.296875,0.8636363636363636,0.4418604651162791,0.9673553719008265,19,45,3,615,full,none,2025-11-14T01:24:50.301693
XGBoost,XGB_v26_gam0_lr0.05_mcw1_spw1_md4_sub1_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.2835820895522388,0.8636363636363636,0.42696629213483145,0.9699724517906336,19,48,3,612,full,none,2025-11-14T01:24:51.263092
XGBoost,XGB_v27_gam0_lr0.05_mcw1_spw1_md4_sub1_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.296875,0.8636363636363636,0.4418604651162791,0.9666666666666668,19,45,3,615,full,none,2025-11-14T01:24:52.190478
XGBoost,XGB_v28_gam0_lr0.05_mcw1_spw1_md4_sub1_cst0.8_ra0.1_rl5_smnone_th0.05,0.05,0.2753623188405797,0.8636363636363636,0.4175824175824176,0.9699035812672177,19,50,3,610,full,none,2025-11-14T01:24:53.152064
XGBoost,XGB_v29_gam0_lr0.05_mcw1_spw1_md4_sub1_cst1_ra0_rl1_smnone_th0.05,0.05,0.2714285714285714,0.8636363636363636,0.41304347826086957,0.9653581267217631,19,51,3,609,full,none,2025-11-14T01:24:54.180883
XGBoost,XGB_v30_gam0_lr0.05_mcw1_spw1_md4_sub1_cst1_ra0_rl5_smnone_th0.05,0.05,0.27941176470588236,0.8636363636363636,0.4222222222222222,0.9688016528925619,19,49,3,611,full,none,2025-11-14T01:24:55.592599
XGBoost,XGB_v31_gam0_lr0.05_mcw1_spw1_md4_sub1_cst1_ra0.1_rl1_smnone_th0.05,0.05,0.2878787878787879,0.8636363636363636,0.4318181818181818,0.9650826446280992,19,47,3,613,full,none,2025-11-14T01:24:56.651533
XGBoost,XGB_v32_gam0_lr0.05_mcw1_spw1_md4_sub1_cst1_ra0.1_rl5_smnone_th0.05,0.05,0.2714285714285714,0.8636363636363636,0.41304347826086957,0.9694903581267217,19,51,3,609,full,none,2025-11-14T01:24:57.820146
XGBoost,XGB_v33_gam0_lr0.05_mcw1_spw20_md3_sub0.8_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.10679611650485436,1.0,0.19298245614035087,0.9613636363636363,22,184,0,476,full,none,2025-11-14T01:24:58.543853
XGBoost,XGB_v34_gam0_lr0.05_mcw1_spw20_md3_sub0.8_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.10526315789473684,1.0,0.19047619047619047,0.9627410468319559,22,187,0,473,full,none,2025-11-14T01:24:59.292984
XGBoost,XGB_v35_gam0_lr0.05_mcw1_spw20_md3_sub0.8_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.10891089108910891,1.0,0.19642857142857142,0.9646005509641873,22,180,0,480,full,none,2025-11-14T01:25:00.007594
XGBoost,XGB_v36_gam0_lr0.05_mcw1_spw20_md3_sub0.8_cst0.8_ra0.1_rl5_smnone_th0.05,0.05,0.10576923076923077,1.0,0.19130434782608696,0.9627410468319559,22,186,0,474,full,none,2025-11-14T01:25:00.722940
XGBoost,XGB_v37_gam0_lr0.05_mcw1_spw20_md3_sub0.8_cst1_ra0_rl1_smnone_th0.05,0.05,0.10628019323671498,1.0,0.19213973799126638,0.962190082644628,22,185,0,475,full,none,2025-11-14T01:25:02.490252
XGBoost,XGB_v38_gam0_lr0.05_mcw1_spw20_md3_sub0.8_cst1_ra0_rl5_smnone_th0.05,0.05,0.10377358490566038,1.0,0.18803418803418803,0.9618457300275483,22,190,0,470,full,none,2025-11-14T01:25:03.282489
XGBoost,XGB_v39_gam0_lr0.05_mcw1_spw20_md3_sub0.8_cst1_ra0.1_rl1_smnone_th0.05,0.05,0.10628019323671498,1.0,0.19213973799126638,0.9611570247933884,22,185,0,475,full,none,2025-11-14T01:25:04.067779
XGBoost,XGB_v40_gam0_lr0.05_mcw1_spw20_md3_sub0.8_cst1_ra0.1_rl5_smnone_th0.05,0.05,0.10628019323671498,1.0,0.19213973799126638,0.9643250688705235,22,185,0,475,full,none,2025-11-14T01:25:04.854204
XGBoost,XGB_v41_gam0_lr0.05_mcw1_spw20_md3_sub1_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.10091743119266056,1.0,0.18333333333333332,0.9601239669421489,22,196,0,464,full,none,2025-11-14T01:25:05.620185
XGBoost,XGB_v42_gam0_lr0.05_mcw1_spw20_md3_sub1_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.09361702127659574,1.0,0.17120622568093385,0.9587465564738292,22,213,0,447,full,none,2025-11-14T01:25:06.390781
XGBoost,XGB_v43_gam0_lr0.05_mcw1_spw20_md3_sub1_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.09691629955947137,1.0,0.17670682730923695,0.9606060606060606,22,205,0,455,full,none,2025-11-14T01:25:07.256940
XGBoost,XGB_v44_gam0_lr0.05_mcw1_spw20_md3_sub1_cst0.8_ra0.1_rl5_smnone_th0.05,0.05,0.09565217391304348,1.0,0.1746031746031746,0.9606749311294766,22,208,0,452,full,none,2025-11-14T01:25:07.964900
XGBoost,XGB_v45_gam0_lr0.05_mcw1_spw20_md3_sub1_cst1_ra0_rl1_smnone_th0.05,0.05,0.1,1.0,0.18181818181818182,0.9566804407713501,22,198,0,462,full,none,2025-11-14T01:25:08.756254
XGBoost,XGB_v46_gam0_lr0.05_mcw1_spw20_md3_sub1_cst1_ra0_rl5_smnone_th0.05,0.05,0.0944206008583691,1.0,0.17254901960784313,0.959710743801653,22,211,0,449,full,none,2025-11-14T01:25:09.555625
XGBoost,XGB_v47_gam0_lr0.05_mcw1_spw20_md3_sub1_cst1_ra0.1_rl1_smnone_th0.05,0.05,0.09523809523809523,1.0,0.17391304347826086,0.9581267217630853,22,209,0,451,full,none,2025-11-14T01:25:10.354228
XGBoost,XGB_v48_gam0_lr0.05_mcw1_spw20_md3_sub1_cst1_ra0.1_rl5_smnone_th0.05,0.05,0.09361702127659574,1.0,0.17120622568093385,0.9602617079889807,22,213,0,447,full,none,2025-11-14T01:25:11.136640
XGBoost,XGB_v49_gam0_lr0.05_mcw1_spw20_md4_sub0.8_cst0.8_ra0_rl1_smnone_th0.05,0.05,0.1301775147928994,1.0,0.23036649214659685,0.9586088154269972,22,147,0,513,full,none,2025-11-14T01:25:12.136179
XGBoost,XGB_v50_gam0_lr0.05_mcw1_spw20_md4_sub0.8_cst0.8_ra0_rl5_smnone_th0.05,0.05,0.1286549707602339,1.0,0.22797927461139897,0.965771349862259,22,149,0,511,full,none,2025-11-14T01:25:13.129746
XGBoost,XGB_v51_gam0_lr0.05_mcw1_spw20_md4_sub0.8_cst0.8_ra0.1_rl1_smnone_th0.05,0.05,0.13580246913580246,1.0,0.2391304347826087,0.9599173553719008,22,140,0,520,full,none,2025-11-14T01:25:14.115244
